Gene  Rule 
g1    ( g74 or g130 or g150 or g188 or g280 or g365 or g674 or g783 or g986 or g1035 or g1086 or g1132 or g1157 or g1163 or g1325 or g1336 )
g2    ( g177 or g373 or g427 or g499 or g693 or g713 or g1111 or g1137 or g1160 or g1254 or g1306 or g1314 or g1391 or g1433 or g1462 )
g3    ( g25 or g45 or g70 or g268 or g374 or g500 or g677 or g863 or g1232 or g1244 or g1256 or g1321 )
g4    ( g223 or g427 or g554 or g621 or g660 or g952 or g1038 or g1069 or g1080 or g1120 or g1169 or g1250 or g1267 or g1294 or g1309 or g1383 or g1391 )
g5    ( g162 or g253 or g374 or g414 or g433 or g447 or g464 or g643 or g762 or g807 or g881 or g893 or g898 or g908 or g1253 or g1267 or g1491 )
g6    ( g44 or g112 or g124 or g139 or g290 or g605 or g643 or g679 or g681 or g716 or g915 or g944 or g958 or g1059 or g1244 or g1364 or g1440 or g1456 or g1469 )
g7    ( g241 or g262 or g355 or g743 or g892 or g930 or g1199 or g1321 )
g8    ( g250 or g398 or g439 or g520 or g876 or g1169 or g1265 or g1289 or g1305 or g1419 )
g9    ( g219 or g310 or g355 or g468 or g500 or g748 or g774 or g845 or g906 or g998 or g1005 or g1006 or g1018 or g1048 or g1104 or g1165 or g1175 or g1215 or g1267 or g1363 )
g10    ( g44 or g134 or g257 or g349 or g502 or g504 or g639 or g664 or g923 or g944 or g1003 or g1055 or g1085 or g1134 or g1137 or g1152 or g1155 or g1326 or g1383 or g1416 or g1494 )
g11    ( g60 or g180 or g238 or g457 or g660 or g692 or g759 or g930 or g1001 or g1189 or g1343 or g1494 )
g12    ( g45 or g56 or g60 or g339 or g362 or g376 or g414 or g532 or g554 or g573 or g976 or g1014 or g1185 or g1305 or g1336 or g1418 )
g13    ( g90 or g280 or g545 or g588 or g595 or g641 or g823 or g968 or g1071 or g1149 or g1178 or g1216 or g1419 or g1452 )
g14    ( g135 or g186 or g337 or g338 or g399 or g435 or g475 or g486 or g701 or g758 or g867 or g965 or g1059 or g1341 or g1489 )
g15    ( g59 or g111 or g321 or g344 or g463 or g467 or g470 or g633 or g1149 or g1163 or g1186 or g1201 or g1240 )
g16    ( g89 or g201 or g297 or g373 or g472 or g475 or g588 or g711 or g729 or g884 or g1105 or g1176 or g1183 or g1202 or g1217 or g1273 or g1296 )
g17    ( g144 or g448 or g612 or g645 or g650 or g656 or g849 or g974 or g1010 or g1020 or g1074 or g1098 or g1205 or g1379 or g1485 )
g18    ( g102 or g138 or g175 or g184 or g356 or g502 or g697 or g974 or g1181 or g1349 or g1445 or g1496 )
g19    ( g3 or g89 or g217 or g299 or g514 or g534 or g578 or g804 )
g20    ( g41 or g160 or g226 or g528 or g534 or g545 or g579 or g841 or g917 or g930 or g934 or g1123 or g1265 or g1432 )
g21    ( g73 or g112 or g192 or g276 or g306 or g398 or g718 or g752 or g811 or g967 or g1080 or g1157 or g1169 or g1314 )
g22    ( g167 or g241 or g445 or g472 or g535 or g629 or g651 or g674 or g792 or g846 or g1132 or g1142 or g1333 )
g23    ( g75 or g93 or g96 or g130 or g375 or g643 or g693 or g694 or g833 or g976 or g1044 or g1048 or g1156 or g1294 or g1476 or g1489 )
g24    ( g18 or g112 or g130 or g296 or g328 or g338 or g436 or g473 or g484 or g713 or g831 or g902 or g1045 or g1059 or g1075 or g1347 or g1363 or g1452 )
g25    ( g26 or g75 or g137 or g186 or g276 or g344 or g345 or g432 or g536 or g568 or g705 or g716 or g740 or g909 or g1099 or g1314 )
g26    ( g153 or g624 or g650 or g657 or g840 or g843 or g890 or g908 or g998 or g1311 or g1433 or g1491 )
g27    ( g164 or g339 or g444 or g504 or g935 or g1304 or g1410 or g1486 )
g28    ( g109 or g299 or g334 or g412 or g433 or g475 or g520 or g545 or g561 or g595 or g742 or g906 or g1120 or g1239 or g1314 )
g29    ( g221 or g276 or g487 or g621 or g707 or g880 or g1016 or g1144 )
g30    ( g58 or g223 or g282 or g396 or g578 or g589 or g643 or g658 or g705 or g761 or g779 or g790 or g852 or g1119 or g1155 or g1183 or g1224 or g1343 )
g31    ( g226 or g256 or g338 or g377 or g527 or g658 or g774 or g805 or g1006 or g1035 or g1069 or g1310 or g1400 or g1469 )
g32    ( g3 or g109 or g144 or g338 or g433 or g514 or g679 or g716 or g748 or g784 or g788 or g898 or g1061 or g1062 or g1116 or g1274 or g1296 or g1302 or g1312 or g1456 or g1476 )
g33    ( g60 or g70 or g141 or g278 or g345 or g578 or g618 or g645 or g888 or g1141 or g1181 or g1188 or g1316 or g1370 or g1400 or g1406 )
g34    ( g35 or g41 or g58 or g124 or g150 or g261 or g432 or g564 or g588 or g608 or g771 or g860 or g1250 or g1356 or g1428 or g1437 )
g35    ( g26 or g55 or g75 or g412 or g774 or g856 or g881 or g923 or g1055 or g1163 or g1199 or g1250 or g1370 or g1380 or g1391 )
g36    ( g26 or g49 or g114 or g168 or g298 or g500 or g605 or g681 or g790 or g809 or g888 or g916 or g1051 or g1233 or g1244 or g1314 or g1325 )
g37    ( g365 or g424 or g520 or g528 or g790 or g809 or g856 or g860 or g885 or g974 or g1136 or g1253 or g1343 )
g38    ( g61 or g322 or g419 or g512 or g562 or g693 or g712 or g834 or g844 or g896 or g903 or g925 or g1045 or g1046 or g1061 or g1126 or g1183 or g1393 or g1416 or g1428 )
g39    ( g22 or g89 or g262 or g574 or g1117 or g1156 or g1208 or g1315 or g1354 or g1432 or g1438 )
g40    ( g19 or g27 or g42 or g66 or g145 or g180 or g359 or g436 or g472 or g528 or g642 or g731 or g852 or g898 or g911 or g1046 or g1063 or g1070 or g1311 or g1325 or g1358 or g1428 )
g41    ( g9 or g73 or g790 or g798 or g857 or g961 or g1046 or g1136 or g1259 or g1419 or g1476 )
g42    ( g168 or g170 or g390 or g664 or g687 or g807 or g809 or g946 or g1120 or g1152 or g1294 or g1309 or g1356 or g1456 or g1486 )
g43    ( g112 or g400 or g754 or g807 or g1104 or g1306 or g1329 )
g44    ( g18 or g68 or g317 or g361 or g468 or g561 or g620 or g681 or g798 or g850 or g1304 or g1383 or g1404 or g1428 or g1432 )
g45    ( g97 or g135 or g238 or g344 or g382 or g544 or g759 or g764 or g790 or g860 or g879 or g997 or g1104 or g1185 or g1383 or g1476 )
g46    ( g188 or g314 or g370 or g445 or g473 or g556 or g763 or g857 or g881 or g986 or g1039 or g1096 or g1152 or g1186 or g1280 or g1282 or g1294 or g1309 or g1387 )
g47    ( g170 or g241 or g431 or g555 or g618 or g678 or g732 or g749 or g863 or g868 or g1065 or g1178 or g1318 or g1379 )
g48    ( g103 or g276 or g426 or g616 or g852 or g900 or g1031 or g1038 or g1045 or g1086 or g1097 or g1222 or g1393 )
g49    ( g145 or g241 or g621 or g651 or g836 or g961 or g1232 or g1350 or g1450 or g1456 )
g50    ( g162 or g314 or g562 or g702 or g713 or g825 or g971 or g1254 or g1456 or g1488 )
g51    ( g93 or g232 or g408 or g444 or g447 or g499 or g607 or g651 or g852 or g965 or g1001 or g1116 or g1434 )
g52    ( g139 or g233 or g463 or g493 or g701 or g855 or g927 or g1006 or g1065 or g1224 or g1254 or g1311 )
