Gene  Rule 
g1    ( g2 or g5 or g7 or g8 or g9 or g11 or g161 or g284 or g343 or g394 or g420 or g500 or g1306 or g1320 or g1394 or g1491 or g1492 or g1494 or g1495 or g1496 or g1499 or g1500 )
g2    ( g1 or g3 or g5 or g6 or g9 or g263 or g310 or g977 or g1140 or g1251 or g1370 or g1460 or g1492 or g1495 or g1497 or g1498 or g1499 )
g3    ( g2 or g4 or g5 or g8 or g11 or g12 or g13 or g590 or g710 or g772 or g962 or g978 or g1211 or g1303 or g1493 or g1496 )
g4    ( g3 or g5 or g7 or g8 or g10 or g13 or g14 or g209 or g214 or g396 or g431 or g479 or g634 or g1090 or g1098 or g1496 or g1499 )
g5    ( g1 or g2 or g3 or g4 or g6 or g8 or g13 or g14 or g15 or g133 or g469 or g678 or g692 or g921 or g1120 or g1133 or g1206 or g1302 or g1495 )
g6    ( g2 or g5 or g8 or g27 or g256 or g283 or g320 or g334 or g576 or g695 or g793 or g882 or g1047 or g1057 or g1213 or g1292 or g1312 or g1445 or g1496 )
g7    ( g1 or g4 or g10 or g11 or g13 or g15 or g16 or g67 or g458 or g604 or g722 or g872 or g884 or g1168 or g1321 or g1419 or g1497 )
g8    ( g1 or g3 or g4 or g5 or g6 or g9 or g12 or g14 or g16 or g17 or g98 or g143 or g237 or g244 or g288 or g317 or g369 or g396 or g863 or g973 or g1122 or g1173 or g1246 or g1303 or g1498 or g1500 )
g9    ( g1 or g2 or g8 or g15 or g19 or g133 or g143 or g184 or g590 or g942 or g1143 or g1161 or g1225 or g1273 or g1444 or g1478 or g1500 )
g10    ( g4 or g7 or g16 or g18 or g19 or g276 or g296 or g375 or g512 or g543 or g692 or g695 or g713 or g818 or g879 or g936 or g1063 or g1206 or g1269 or g1486 )
g11    ( g1 or g3 or g7 or g12 or g13 or g14 or g15 or g17 or g18 or g21 or g209 or g489 or g603 or g1086 or g1117 or g1221 or g1392 or g1451 )
g12    ( g3 or g8 or g11 or g13 or g15 or g16 or g22 or g132 or g157 or g437 or g660 or g724 or g1196 or g1272 or g1304 or g1500 )
g13    ( g3 or g4 or g5 or g7 or g11 or g12 or g14 or g16 or g18 or g19 or g21 or g23 or g326 or g454 or g738 or g954 or g1259 or g1270 or g1296 or g1344 or g1478 or g1480 )
g14    ( g4 or g5 or g8 or g11 or g13 or g15 or g20 or g21 or g136 or g396 or g598 or g627 or g787 or g855 or g1008 or g1026 or g1034 or g1155 or g1243 )
g15    ( g5 or g7 or g9 or g11 or g12 or g14 or g18 or g21 or g22 or g23 or g24 or g25 or g149 or g331 or g370 or g554 or g608 or g798 or g839 or g859 or g1144 or g1303 or g1389 )
g16    ( g7 or g8 or g10 or g12 or g13 or g21 or g22 or g23 or g26 or g192 or g340 or g508 or g550 or g562 or g1072 or g1186 or g1229 or g1321 or g1429 or g1451 )
g17    ( g8 or g11 or g18 or g19 or g20 or g21 or g22 or g24 or g25 or g84 or g430 or g603 or g1000 or g1393 or g1419 )
g18    ( g10 or g11 or g13 or g15 or g17 or g21 or g22 or g27 or g28 or g273 or g317 or g346 or g526 or g808 or g1053 or g1456 )
g19    ( g9 or g10 or g13 or g17 or g22 or g23 or g24 or g25 or g34 or g74 or g118 or g157 or g235 or g548 or g945 or g979 or g1025 or g1031 or g1156 or g1392 )
