Gene1,Gene2,Type
g6,g1,-
g14,g1,+
g19,g1,+
g42,g1,+
g46,g1,+
g61,g1,+
g63,g1,+
g70,g1,+
g72,g1,+
g76,g1,+
g96,g1,+
g4,g2,-
g5,g2,+
g42,g2,+
g51,g2,+
g62,g2,+
g69,g2,+
g71,g2,+
g76,g2,+
g83,g2,+
g97,g2,-
g100,g2,+
g2,g3,+
g9,g3,+
g19,g3,+
g21,g3,+
g46,g3,-
g51,g3,+
g67,g3,+
g72,g3,+
g80,g3,+
g87,g3,+
g88,g3,+
g89,g3,+
g96,g3,+
g100,g3,+
g6,g4,+
g8,g4,-
g43,g4,-
g74,g4,+
g82,g4,+
g86,g4,+
g88,g4,+
g93,g4,+
g18,g5,+
g30,g5,+
g34,g5,+
g40,g5,+
g47,g5,+
g61,g5,+
g63,g5,+
g74,g5,+
g85,g5,+
g94,g5,+
g2,g6,+
g19,g6,+
g21,g6,+
g22,g6,+
g29,g6,+
g35,g6,+
g36,g6,+
g38,g6,+
g45,g6,+
g51,g6,+
g63,g6,+
g66,g6,+
g86,g6,+
g18,g7,+
g22,g7,+
g35,g7,-
g46,g7,+
g56,g7,+
g59,g7,+
g73,g7,+
g80,g7,+
g6,g8,-
g12,g8,+
g15,g8,-
g18,g8,+
g42,g8,+
g53,g8,+
g56,g8,+
g60,g8,+
g72,g8,+
g81,g8,+
g86,g8,+
g87,g8,+
g7,g9,+
g13,g9,+
g17,g9,+
g22,g9,+
g24,g9,+
g26,g9,+
g34,g9,+
g40,g9,+
g76,g9,+
g83,g9,-
g26,g10,-
g34,g10,+
g45,g10,-
g47,g10,-
g68,g10,+
g81,g10,+
g1,g11,+
g8,g11,+
g18,g11,+
g19,g11,+
g34,g11,+
g35,g11,+
g50,g11,+
g78,g11,+
g31,g12,+
g33,g12,+
g45,g12,+
g64,g12,+
g95,g12,+
g96,g12,+
g5,g13,+
g7,g13,+
g24,g13,+
g28,g13,+
g36,g13,+
g43,g13,+
g47,g13,+
g53,g13,+
g72,g13,+
g79,g13,+
g84,g13,-
g1,g14,+
g42,g14,+
g45,g14,+
