geneName	comGeneName	iE4	iE5	iE6	iE7	iE8	iE9	iE10	iE11	iE14	iE15	iE18	iE19	iE21	iE22	iE23	iE25	iE30	iE35	iE39	iE48	iE50	iE51	iE52	iE55	iE57	iE58	iE59	iE62	iE65	iE69	iE73	iE74	iE75	iE77	iE78	iE79	iE80	iE82	iE83	iE84	iE86	iE87	iE88	iE91	iE92	iE93	iE94	iE95
SUT432	SUT432	3.76907522588216	1.90989952679504	13.2051235554096	1.70104159486021	10.0644744176366	2.53413417797724	9.80262160881877	9.46727620136828	0	2.72148710081339	1.9734452118054	1.82649671795701	7.14467214553001	2.84883398823053	0.532971751026297	2.96791085585853	5.43252383665266	2.12761883242816	21.8522328993506	3.04219341836897	0.980905222465796	3.48601110759747	5.40918628264183	0.463932019599124	5.49657657004485	1.68354049534421	2.97818260045498	69.7067811073478	4.09172658388641	27.5862268778159	4.57824236264027	4.77974229721988	7.75720232569126	5.1945491125998	2.84244920658888	8.32082240686372	1.90610906097009	3.75180701036935	9.0521053522611	7.01316602046544	7.67910124049084	0.977813797600756	8.06377202483842	0	0	1.68019774913911	1.07038386593284	12.4849426256133
YAL067C	SEO1	0	1.27326635119669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35813095916316	0	0	0	0.490452611232898	0.871502776899369	0	0	0	0	0	0	0	0	0	0	0.861911369521251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUT436	CUT436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUT433	SUT433	0	0.636633175598346	0	1.70104159486021	1.43778205966237	0	0	1.3524680287669	0.533865253489311	0	1.3156301412036	0	0	0	2.13188700410519	0	2.71626191832633	0	0	0	0.980905222465796	0	0	0.463932019599124	0.785225224292122	0.841770247672104	0.992727533484992	0	0.511465822985802	0	1.01738719169784	3.18649486481325	0.861911369521251	0	1.42122460329444	0.924535822984857	0.953054530485046	0	3.0173684507537	0	2.55970041349695	0.651875865067171	0	1.27497090625241	0	0.840098874569555	0	0
CUT437	CUT437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUT434	SUT434	0	0	0	0	0	0	0	0	0.177955084496437	0.907162366937797	0	0	0	0	0	0	0	0	0	1.01406447278966	0.490452611232898	0	0	0.154644006533041	0	0	0	0	0	0	0	0	0	0	0.473741534431481	0	0	0	0	0	0	0.325937932533585	1.61275440496768	0.141663434028046	0	0.840098874569555	0	0
SUT435	SUT435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUT438	CUT438	0	0	0	0	0	0.506826835595449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUT439	CUT439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL054C	ACS1	0.753815045176432	0	0	0	1.43778205966237	1.0136536711909	3.26754053627292	0	0.355910168992874	1.81432473387559	0	0	1.19077869092167	0	0	0	0	1.06380941621408	0	0	1.96181044493159	0	1.80306209421394	0.309288013066083	0	0.841770247672104	0	0	0.511465822985802	0	0	0	0	0	0	0.924535822984857	0.476527265242523	0.937951752592337	0	0	0	0.325937932533585	0	0.424990302084137	0	0.840098874569555	0	0
