Gene1,Gene2,Type
g51,g1,+
g109,g1,+
g299,g1,+
g372,g1,+
g480,g1,+
g508,g1,+
g564,g1,+
g609,g1,+
g712,g1,+
g790,g1,+
g1054,g1,+
g1159,g1,+
g1168,g1,+
g1195,g1,+
g1417,g1,+
g1482,g1,+
g152,g2,+
g174,g2,+
g295,g2,+
g303,g2,+
g485,g2,+
g535,g2,+
g616,g2,+
g888,g2,+
g973,g2,+
g1024,g2,+
g1034,g2,+
g1113,g2,+
g1285,g2,+
g1359,g2,+
g1370,g2,+
g1375,g2,+
g1377,g2,+
g1489,g2,+
g108,g3,+
g153,g3,+
g256,g3,+
g257,g3,+
g269,g3,+
g274,g3,+
g306,g3,+
g311,g3,+
g354,g3,+
g529,g3,+
g729,g3,+
g1052,g3,+
g1341,g3,+
g1394,g3,+
g1406,g3,+
g1451,g3,+
g10,g4,+
g109,g4,+
g118,g4,+
g187,g4,+
g236,g4,+
g246,g4,+
g279,g4,+
g322,g4,+
g448,g4,+
g454,g4,+
g470,g4,+
g539,g4,+
g547,g4,+
g552,g4,+
g553,g4,+
g682,g4,+
g741,g4,+
g749,g4,+
g792,g4,+
g821,g4,+
g850,g4,+
g929,g4,+
g979,g4,+
g991,g4,+
g1042,g4,+
g1329,g4,+
g1335,g4,+
g1423,g4,+
g256,g5,+
g280,g5,+
g466,g5,+
g627,g5,+
g679,g5,+
g683,g5,+
g1144,g5,+
g1153,g5,+
g1172,g5,+
g1236,g5,+
g1264,g5,+
g1271,g5,+
g1406,g5,+
g1456,g5,+
g1489,g5,+
g166,g6,+
g300,g6,+
g340,g6,+
g362,g6,+
g426,g6,+
g480,g6,+
g481,g6,+
g536,g6,+
g546,g6,+
g598,g6,+
g680,g6,+
g760,g6,+
g901,g6,+
g920,g6,+
g1007,g6,+
g1045,g6,+
g1096,g6,+
g1155,g6,+
g1186,g6,+
g1200,g6,+
g1215,g6,+
g1216,g6,+
g1227,g6,+
g1247,g6,+
g1347,g6,+
g1395,g6,+
g1411,g6,+
g1474,g6,+
g1491,g6,+
g34,g7,+
g233,g7,+
g384,g7,+
g393,g7,+
g451,g7,+
g500,g7,+
g506,g7,+
g555,g7,+
g656,g7,+
g724,g7,+
g857,g7,+
g916,g7,+
g964,g7,+
g965,g7,+
g1019,g7,+
g1023,g7,+
g1057,g7,+
g1183,g7,+
g1318,g7,+
g2,g8,+
g109,g8,+
g136,g8,+
g148,g8,+
g153,g8,+
g281,g8,+
g341,g8,+
g435,g8,+
g556,g8,+
g669,g8,+
g721,g8,+
g789,g8,+
g797,g8,+
g841,g8,+
g879,g8,+
g932,g8,+
g966,g8,+
g984,g8,+
g989,g8,+
g992,g8,+
g1035,g8,+
g1229,g8,+
g1301,g8,+
g1466,g8,+
g132,g9,+
g229,g9,+
g351,g9,+
g471,g9,+
g692,g9,+
g848,g9,+
g1013,g9,+
g1079,g9,+
g1143,g9,+
g1217,g9,+
g1344,g9,+
g1372,g9,+
g1436,g9,+
g1443,g9,+
g1471,g9,+
g32,g10,+
g80,g10,+
g134,g10,+
g172,g10,+
g193,g10,+
g374,g10,+
g450,g10,+
g506,g10,+
g517,g10,+
g534,g10,+
g541,g10,+
g730,g10,+
g867,g10,+
g1082,g10,+
g1166,g10,+
g1187,g10,+
g1289,g10,+
g1299,g10,+
g1369,g10,+
g77,g11,+
g124,g11,+
g148,g11,+
g365,g11,+
g448,g11,+
g573,g11,+
g654,g11,+
g686,g11,+
g710,g11,+
g806,g11,+
g849,g11,+
g970,g11,+
g1010,g11,+
g1055,g11,+
g1066,g11,+
g1072,g11,+
g1085,g11,+
g1282,g11,+
g1332,g11,+
g1425,g11,+
g1497,g11,+
g38,g12,+
g82,g12,+
g146,g12,+
g174,g12,+
g245,g12,+
g338,g12,+
g421,g12,+
g569,g12,+
g602,g12,+
g779,g12,+
g781,g12,+
g865,g12,+
g876,g12,+
g924,g12,+
g934,g12,+
g1106,g12,+
g1169,g12,+
g1231,g12,+
g1246,g12,+
g1247,g12,+
g1424,g12,+
g24,g13,+
g25,g13,+
g91,g13,+
g182,g13,+
g219,g13,+
g260,g13,+
g291,g13,+
g312,g13,+
g355,g13,+
g382,g13,+
g435,g13,+
g584,g13,+
g626,g13,+
g745,g13,+
g925,g13,+
g1026,g13,+
g1040,g13,+
g1045,g13,+
g1104,g13,+
g1105,g13,+
g1199,g13,+
g1207,g13,+
g1219,g13,+
g1294,g13,+
g1316,g13,+
g1365,g13,+
g1475,g13,+
g1478,g13,+
g191,g14,+
g266,g14,+
g396,g14,+
g409,g14,+
g507,g14,+
g792,g14,+
g831,g14,+
g855,g14,+
g869,g14,+
g1207,g14,+
g1316,g14,+
g1362,g14,+
g4,g15,+
g42,g15,+
g332,g15,+
g348,g15,+
g438,g15,+
g490,g15,+
g581,g15,+
g716,g15,+
g841,g15,+
g1145,g15,+
g1149,g15,+
g1232,g15,+
g1255,g15,+
g1423,g15,+
g1434,g15,+
g1457,g15,+
g14,g16,+
g52,g16,+
g65,g16,+
g168,g16,+
g242,g16,+
g260,g16,+
g428,g16,+
g445,g16,+
g615,g16,+
g734,g16,+
g763,g16,+
g929,g16,+
g1076,g16,+
g1128,g16,+
g1134,g16,+
g1202,g16,+
g1207,g16,+
g1350,g16,+
g1392,g16,+
g1470,g16,+
g71,g17,+
g74,g17,+
g91,g17,+
g94,g17,+
g168,g17,+
g188,g17,+
g260,g17,+
g308,g17,+
g427,g17,+
g548,g17,+
g569,g17,+
g758,g17,+
g911,g17,+
g1027,g17,+
g1063,g17,+
g1141,g17,+
g1229,g17,+
g1234,g17,+
g1236,g17,+
g1333,g17,+
g1412,g17,+
g66,g18,+
g176,g18,+
g297,g18,+
g434,g18,+
g497,g18,+
g503,g18,+
g504,g18,+
g740,g18,+
g812,g18,+
g1025,g18,+
g1030,g18,+
g1087,g18,+
g1088,g18,+
g1103,g18,+
g1173,g18,+
g1187,g18,+
g1281,g18,+
g1408,g18,+
g1449,g18,+
g22,g19,+
g102,g19,+
g151,g19,+
g190,g19,+
g209,g19,+
g282,g19,+
g345,g19,+
g484,g19,+
g575,g19,+
g693,g19,+
g719,g19,+
g815,g19,+
g832,g19,+
g841,g19,+
g847,g19,+
g901,g19,+
g949,g19,+
g1092,g19,+
g1172,g19,+
g1201,g19,+
g1238,g19,+
g1365,g19,+
g1437,g19,+
g1450,g19,+
g1481,g19,+
g7,g20,+
g8,g20,+
g79,g20,+
g115,g20,+
g256,g20,+
g263,g20,+
g283,g20,+
g329,g20,+
g402,g20,+
g454,g20,+
g464,g20,+
g523,g20,+
g608,g20,+
g642,g20,+
g664,g20,+
g741,g20,+
g805,g20,+
g860,g20,+
g914,g20,+
g922,g20,+
g1165,g20,+
g1263,g20,+
g1387,g20,+
g1441,g20,+
g134,g21,+
g378,g21,+
g487,g21,+
g529,g21,+
g601,g21,+
g611,g21,+
g622,g21,+
g629,g21,+
g898,g21,+
g1172,g21,+
g1176,g21,+
g1204,g21,+
g1275,g21,+
g1285,g21,+
g1286,g21,+
g1417,g21,+
g1420,g21,+
g1424,g21,+
g37,g22,+
g61,g22,+
g145,g22,+
g250,g22,+
g348,g22,+
g354,g22,+
g743,g22,+
g757,g22,+
g788,g22,+
g911,g22,+
g997,g22,+
g1071,g22,+
g1208,g22,+
g1223,g22,+
g1315,g22,+
g1417,g22,+
g1434,g22,+
g1439,g22,+
g1441,g22,+
g1444,g22,+
g52,g23,+
g128,g23,+
g427,g23,+
g471,g23,+
g477,g23,+
g493,g23,+
g605,g23,+
g722,g23,+
g1013,g23,+
g1183,g23,+
g1253,g23,+
g1318,g23,+
g1374,g23,+
g1435,g23,+
g1464,g23,+
g1466,g23,+
g1,g24,+
g82,g24,+
g156,g24,+
g321,g24,+
g495,g24,+
g502,g24,+
g513,g24,+
g649,g24,+
g709,g24,+
g786,g24,+
g791,g24,+
g1023,g24,+
g1116,g24,+
g1145,g24,+
g1275,g24,+
g1304,g24,+
g22,g25,+
g167,g25,+
g203,g25,+
g232,g25,+
g419,g25,+
g440,g25,+
g658,g25,+
g1009,g25,+
g1220,g25,+
g1295,g25,+
g1362,g25,+
g1369,g25,+
g89,g26,+
g93,g26,+
g247,g26,+
g427,g26,+
g451,g26,+
g474,g26,+
g509,g26,+
g586,g26,+
g739,g26,+
g798,g26,+
g879,g26,+
g884,g26,+
g887,g26,+
g915,g26,+
g916,g26,+
g982,g26,+
g1075,g26,+
g1109,g26,+
g1122,g26,+
g1169,g26,+
g1276,g26,+
g1279,g26,+
g1334,g26,+
g1388,g26,+
g138,g27,+
g301,g27,+
