Gene1,Gene2,Type
g17,g1,+
g53,g1,+
g179,g1,+
g251,g1,+
g252,g1,+
g271,g1,+
g284,g1,+
g375,g1,+
g448,g1,+
g451,g1,+
g501,g1,+
g576,g1,+
g581,g1,+
g633,g1,+
g677,g1,+
g871,g1,+
g929,g1,+
g934,g1,+
g991,g1,+
g1007,g1,+
g1022,g1,+
g1067,g1,+
g1070,g1,+
g1134,g1,+
g1161,g1,+
g1198,g1,+
g1282,g1,+
g24,g2,+
g34,g2,+
g50,g2,+
g82,g2,+
g94,g2,+
g187,g2,+
g274,g2,+
g295,g2,+
g410,g2,+
g424,g2,+
g435,g2,+
g505,g2,+
g536,g2,+
g559,g2,+
g630,g2,+
g809,g2,+
g832,g2,+
g867,g2,+
g902,g2,+
g910,g2,+
g1010,g2,+
g1130,g2,+
g1155,g2,+
g1204,g2,+
g1224,g2,+
g1227,g2,+
g1248,g2,+
g1251,g2,+
g1281,g2,+
g1327,g2,+
g1342,g2,+
g1354,g2,+
g1363,g2,+
g1387,g2,+
g1388,g2,+
g1396,g2,+
g1454,g2,+
g1463,g2,+
g1480,g2,+
g1490,g2,+
g1006,g3,+
g1185,g3,+
g1276,g3,+
g126,g4,+
g856,g4,+
g935,g4,+
g1102,g4,+
g1176,g4,+
g1325,g4,+
g54,g5,+
g137,g5,+
g147,g5,+
g153,g5,+
g209,g5,+
g370,g5,+
g538,g5,+
g581,g5,+
g601,g5,+
g610,g5,+
g626,g5,+
g639,g5,+
g696,g5,+
g775,g5,+
g787,g5,+
g874,g5,+
g892,g5,+
g946,g5,+
g1018,g5,+
g1040,g5,+
g1150,g5,+
g1188,g5,+
g1298,g5,+
g1347,g5,+
g1380,g5,+
g1385,g5,+
g1416,g5,+
g1434,g5,+
g1447,g5,+
g1449,g5,+
g1464,g5,+
g845,g6,+
g1040,g6,+
g1299,g6,+
g1308,g6,+
g1432,g6,+
g305,g7,+
g526,g7,+
g536,g7,+
g693,g7,+
g766,g7,+
g934,g7,+
g1058,g7,+
g1084,g7,+
g1144,g7,+
g1185,g7,+
g1400,g7,+
g1467,g7,+
g84,g8,+
g93,g8,+
g119,g8,+
g190,g8,+
g227,g8,+
g285,g8,+
g371,g8,+
g519,g8,+
g605,g8,+
g668,g8,+
g730,g8,+
g1049,g8,+
g1105,g8,+
g1156,g8,+
g1226,g8,+
g1256,g8,+
g1300,g8,+
g1482,g8,+
g1486,g8,+
g215,g9,+
g938,g9,+
g1105,g9,+
g1293,g9,+
g1305,g9,+
g1308,g9,+
g369,g10,+
g378,g10,+
g384,g10,+
g547,g10,+
g677,g10,+
g721,g10,+
g846,g10,+
g919,g10,+
g978,g10,+
g1189,g10,+
g1430,g10,+
g1455,g10,+
g1470,g10,+
g115,g11,+
g131,g11,+
g348,g11,+
g522,g11,+
g528,g11,+
g813,g11,+
g1098,g11,+
g1198,g11,+
g1263,g11,+
g1291,g11,+
g1344,g11,+
g1403,g11,+
g1420,g11,+
g1430,g11,+
g1180,g12,+
g1243,g12,+
g1418,g12,+
g462,g13,+
g657,g13,+
g802,g13,+
g867,g13,+
g970,g13,+
g1036,g13,+
g1113,g13,+
g1191,g13,+
g1411,g13,+
g16,g14,+
g65,g14,+
g238,g14,+
g294,g14,+
g368,g14,+
g537,g14,+
g753,g14,+
g766,g14,+
g781,g14,+
g921,g14,+
g1216,g14,+
g1415,g14,+
g234,g15,+
g241,g15,+
g587,g15,+
g70,g16,+
g1042,g16,+
g1382,g16,+
g19,g17,+
g106,g17,+
g108,g17,+
g154,g17,+
g188,g17,+
g208,g17,+
g211,g17,+
g308,g17,+
g408,g17,+
g472,g17,+
g507,g17,+
g584,g17,+
g611,g17,+
g619,g17,+
g682,g17,+
g686,g17,+
g702,g17,+
g711,g17,+
g724,g17,+
g733,g17,+
g742,g17,+
g759,g17,+
g819,g17,+
g824,g17,+
g838,g17,+
g875,g17,+
g876,g17,+
g926,g17,+
g1021,g17,+
g1067,g17,+
g1100,g17,+
g1120,g17,+
g1161,g17,+
g1182,g17,+
g1217,g17,+
g1218,g17,+
g1230,g17,+
g1301,g17,+
g1313,g17,+
g1359,g17,+
g1436,g17,+
g69,g18,+
g134,g18,+
g317,g18,+
g732,g18,+
g903,g18,+
g1025,g18,+
g1462,g18,+
g4,g19,+
g72,g19,+
g495,g19,+
g528,g19,+
g568,g19,+
g740,g19,+
g768,g19,+
g782,g19,+
g829,g19,+
g833,g19,+
g1165,g19,+
g1278,g19,+
g1314,g19,+
g184,g20,+
g496,g20,+
g598,g20,+
g703,g20,+
g1372,g20,+
g170,g21,+
g217,g21,+
g251,g21,+
g539,g21,+
g600,g21,+
g826,g21,+
g888,g21,+
g921,g21,+
g1175,g21,+
g1431,g21,+
g4,g22,+
g24,g22,+
g116,g22,+
g124,g22,+
g134,g22,+
g140,g22,+
g188,g22,+
g198,g22,+
g279,g22,+
g332,g22,+
g407,g22,+
g436,g22,+
g446,g22,+
g459,g22,+
g461,g22,+
g536,g22,+
g560,g22,+
g580,g22,+
g590,g22,+
g673,g22,+
g778,g22,+
g894,g22,+
g964,g22,+
g1051,g22,+
g1055,g22,+
g1059,g22,+
g1070,g22,+
g1176,g22,+
g1208,g22,+
g1209,g22,+
g1251,g22,+
g1305,g22,+
g1348,g22,+
g1370,g22,+
g1372,g22,+
g1389,g22,+
g1420,g22,+
g1440,g22,+
g1461,g22,+
g1497,g22,+
g27,g23,+
g70,g23,+
g122,g23,+
g268,g23,+
g690,g23,+
g859,g23,+
g1017,g23,+
g1051,g23,+
g1100,g23,+
g1204,g23,+
g368,g24,+
g499,g24,+
g892,g24,+
g943,g24,+
g121,g25,+
g182,g25,+
g408,g25,+
g410,g25,+
g518,g25,+
g538,g25,+
g685,g25,+
g823,g25,+
g1014,g25,+
g1214,g25,+
g1316,g25,+
g1342,g25,+
g1425,g25,+
g1430,g25,+
g1451,g25,+
g594,g26,+
g897,g26,+
g963,g26,+
g1214,g26,+
g151,g27,+
g278,g27,+
g314,g27,+
g337,g27,+
g577,g27,+
g713,g27,+
g808,g27,+
g874,g27,+
g986,g27,+
g1246,g27,+
g1327,g27,+
g6,g28,+
g63,g28,+
g65,g28,+
g107,g28,+
g110,g28,+
g159,g28,+
g233,g28,+
g265,g28,+
g299,g28,+
g361,g28,+
g377,g28,+
g382,g28,+
g410,g28,+
g564,g28,+
g633,g28,+
g644,g28,+
g703,g28,+
g820,g28,+
g1026,g28,+
g1067,g28,+
g1070,g28,+
g1080,g28,+
g1139,g28,+
g1141,g28,+
g1157,g28,+
g1167,g28,+
g1190,g28,+
g1207,g28,+
g1263,g28,+
g1323,g28,+
g1332,g28,+
