Gene1,Gene2,Type
g74,g1,+
g130,g1,+
g150,g1,+
g188,g1,+
g280,g1,+
g365,g1,+
g674,g1,+
g783,g1,+
g986,g1,+
g1035,g1,+
g1086,g1,+
g1132,g1,+
g1157,g1,+
g1163,g1,+
g1325,g1,+
g1336,g1,+
g177,g2,+
g373,g2,+
g427,g2,+
g499,g2,+
g693,g2,+
g713,g2,+
g1111,g2,+
g1137,g2,+
g1160,g2,+
g1254,g2,+
g1306,g2,+
g1314,g2,+
g1391,g2,+
g1433,g2,+
g1462,g2,+
g25,g3,+
g45,g3,+
g70,g3,+
g268,g3,+
g374,g3,+
g500,g3,+
g677,g3,+
g863,g3,+
g1232,g3,+
g1244,g3,+
g1256,g3,+
g1321,g3,+
g223,g4,+
g427,g4,+
g554,g4,+
g621,g4,+
g660,g4,+
g952,g4,+
g1038,g4,+
g1069,g4,+
g1080,g4,+
g1120,g4,+
g1169,g4,+
g1250,g4,+
g1267,g4,+
g1294,g4,+
g1309,g4,+
g1383,g4,+
g1391,g4,+
g162,g5,+
g253,g5,+
g374,g5,+
g414,g5,+
g433,g5,+
g447,g5,+
g464,g5,+
g643,g5,+
g762,g5,+
g807,g5,+
g881,g5,+
g893,g5,+
g898,g5,+
g908,g5,+
g1253,g5,+
g1267,g5,+
g1491,g5,+
g44,g6,+
g112,g6,+
g124,g6,+
g139,g6,+
g290,g6,+
g605,g6,+
g643,g6,+
g679,g6,+
g681,g6,+
g716,g6,+
g915,g6,+
g944,g6,+
g958,g6,+
g1059,g6,+
g1244,g6,+
g1364,g6,+
g1440,g6,+
g1456,g6,+
g1469,g6,+
g241,g7,+
g262,g7,+
g355,g7,+
g743,g7,+
g892,g7,+
g930,g7,+
g1199,g7,+
g1321,g7,+
g250,g8,+
g398,g8,+
g439,g8,+
g520,g8,+
g876,g8,+
g1169,g8,+
g1265,g8,+
g1289,g8,+
g1305,g8,+
g1419,g8,+
g219,g9,+
g310,g9,+
g355,g9,+
g468,g9,+
g500,g9,+
g748,g9,+
g774,g9,+
g845,g9,+
g906,g9,+
g998,g9,+
g1005,g9,+
g1006,g9,+
g1018,g9,+
g1048,g9,+
g1104,g9,+
g1165,g9,+
g1175,g9,+
g1215,g9,+
g1267,g9,+
g1363,g9,+
g44,g10,+
g134,g10,+
g257,g10,+
g349,g10,+
g502,g10,+
g504,g10,+
g639,g10,+
g664,g10,+
g923,g10,+
g944,g10,+
g1003,g10,+
