Gene1,Gene2,Type
g2,g1,+
g5,g1,+
g7,g1,+
g8,g1,+
g9,g1,+
g11,g1,+
g161,g1,+
g284,g1,+
g343,g1,+
g394,g1,+
g420,g1,+
g500,g1,+
g1306,g1,+
g1320,g1,+
g1394,g1,+
g1491,g1,+
g1492,g1,+
g1494,g1,+
g1495,g1,+
g1496,g1,+
g1499,g1,+
g1500,g1,+
g1,g2,+
g3,g2,+
g5,g2,+
g6,g2,+
g9,g2,+
g263,g2,+
g310,g2,+
g977,g2,+
g1140,g2,+
g1251,g2,+
g1370,g2,+
g1460,g2,+
g1492,g2,+
g1495,g2,+
g1497,g2,+
g1498,g2,+
g1499,g2,+
g2,g3,+
g4,g3,+
g5,g3,+
g8,g3,+
g11,g3,+
g12,g3,+
g13,g3,+
g590,g3,+
g710,g3,+
g772,g3,+
g962,g3,+
g978,g3,+
g1211,g3,+
g1303,g3,+
g1493,g3,+
g1496,g3,+
g3,g4,+
g5,g4,+
g7,g4,+
g8,g4,+
g10,g4,+
g13,g4,+
g14,g4,+
g209,g4,+
g214,g4,+
g396,g4,+
g431,g4,+
g479,g4,+
g634,g4,+
g1090,g4,+
g1098,g4,+
g1496,g4,+
g1499,g4,+
g1,g5,+
g2,g5,+
g3,g5,+
g4,g5,+
g6,g5,+
g8,g5,+
g13,g5,+
g14,g5,+
g15,g5,+
g133,g5,+
g469,g5,+
g678,g5,+
g692,g5,+
g921,g5,+
g1120,g5,+
g1133,g5,+
g1206,g5,+
g1302,g5,+
g1495,g5,+
g2,g6,+
g5,g6,+
g8,g6,+
g27,g6,+
g256,g6,+
g283,g6,+
g320,g6,+
g334,g6,+
g576,g6,+
g695,g6,+
g793,g6,+
g882,g6,+
g1047,g6,+
g1057,g6,+
g1213,g6,+
g1292,g6,+
g1312,g6,+
g1445,g6,+
g1496,g6,+
g1,g7,+
g4,g7,+
g10,g7,+
g11,g7,+
g13,g7,+
g15,g7,+
g16,g7,+
g67,g7,+
g458,g7,+
g604,g7,+
g722,g7,+
g872,g7,+
g884,g7,+
g1168,g7,+
g1321,g7,+
g1419,g7,+
g1497,g7,+
g1,g8,+
g3,g8,+
g4,g8,+
g5,g8,+
g6,g8,+
g9,g8,+
g12,g8,+
g14,g8,+
g16,g8,+
g17,g8,+
g98,g8,+
g143,g8,+
g237,g8,+
g244,g8,+
g288,g8,+
g317,g8,+
g369,g8,+
g396,g8,+
g863,g8,+
g973,g8,+
g1122,g8,+
g1173,g8,+
g1246,g8,+
g1303,g8,+
g1498,g8,+
g1500,g8,+
g1,g9,+
g2,g9,+
g8,g9,+
g15,g9,+
g19,g9,+
g133,g9,+
g143,g9,+
g184,g9,+
g590,g9,+
g942,g9,+
g1143,g9,+
g1161,g9,+
g1225,g9,+
g1273,g9,+
g1444,g9,+
g1478,g9,+
g1500,g9,+
g4,g10,+
g7,g10,+
g16,g10,+
g18,g10,+
g19,g10,+
g276,g10,+
g296,g10,+
g375,g10,+
g512,g10,+
g543,g10,+
g692,g10,+
g695,g10,+
g713,g10,+
g818,g10,+
g879,g10,+
g936,g10,+
g1063,g10,+
g1206,g10,+
g1269,g10,+
g1486,g10,+
g1,g11,+
g3,g11,+
g7,g11,+
g12,g11,+
g13,g11,+
g14,g11,+
g15,g11,+
g17,g11,+
g18,g11,+
g21,g11,+
g209,g11,+
g489,g11,+
g603,g11,+
g1086,g11,+
g1117,g11,+
g1221,g11,+
g1392,g11,+
g1451,g11,+
g3,g12,+
g8,g12,+
g11,g12,+
g13,g12,+
g15,g12,+
g16,g12,+
g22,g12,+
g132,g12,+
g157,g12,+
g437,g12,+
g660,g12,+
g724,g12,+
g1196,g12,+
g1272,g12,+
g1304,g12,+
g1500,g12,+
g3,g13,+
g4,g13,+
g5,g13,+
g7,g13,+
g11,g13,+
g12,g13,+
g14,g13,+
g16,g13,+
g18,g13,+
g19,g13,+
g21,g13,+
g23,g13,+
g326,g13,+
g454,g13,+
g738,g13,+
g954,g13,+
g1259,g13,+
g1270,g13,+
g1296,g13,+
g1344,g13,+
g1478,g13,+
g1480,g13,+
g4,g14,+
g5,g14,+
g8,g14,+
g11,g14,+
g13,g14,+
g15,g14,+
g20,g14,+
g21,g14,+
g136,g14,+
g396,g14,+
g598,g14,+
g627,g14,+
g787,g14,+
g855,g14,+
g1008,g14,+
g1026,g14,+
g1034,g14,+
g1155,g14,+
g1243,g14,+
g5,g15,+
g7,g15,+
g9,g15,+
g11,g15,+
g12,g15,+
g14,g15,+
g18,g15,+
g21,g15,+
g22,g15,+
g23,g15,+
g24,g15,+
g25,g15,+
g149,g15,+
g331,g15,+
g370,g15,+
g554,g15,+
g608,g15,+
g798,g15,+
g839,g15,+
g859,g15,+
g1144,g15,+
g1303,g15,+
g1389,g15,+
g7,g16,+
g8,g16,+
g10,g16,+
g12,g16,+
g13,g16,+
g21,g16,+
g22,g16,+
g23,g16,+
g26,g16,+
g192,g16,+
g340,g16,+
g508,g16,+
g550,g16,+
g562,g16,+
g1072,g16,+
g1186,g16,+
g1229,g16,+
g1321,g16,+
g1429,g16,+
g1451,g16,+
g8,g17,+
g11,g17,+
g18,g17,+
g19,g17,+
g20,g17,+
g21,g17,+
g22,g17,+
g24,g17,+
g25,g17,+
g84,g17,+
g430,g17,+
g603,g17,+
g1000,g17,+
g1393,g17,+
g1419,g17,+
g10,g18,+
g11,g18,+
g13,g18,+
g15,g18,+
g17,g18,+
g21,g18,+
g22,g18,+
g27,g18,+
g28,g18,+
g273,g18,+
g317,g18,+
g346,g18,+
g526,g18,+
g808,g18,+
g1053,g18,+
g1456,g18,+
g9,g19,+
g10,g19,+
g13,g19,+
g17,g19,+
g22,g19,+
g23,g19,+
g24,g19,+
g25,g19,+
g34,g19,+
g74,g19,+
g118,g19,+
g157,g19,+
g235,g19,+
g548,g19,+
g945,g19,+
g979,g19,+
g1025,g19,+
g1031,g19,+
g1156,g19,+
g1392,g19,+
g14,g20,+
g17,g20,+
g21,g20,+
g22,g20,+
g23,g20,+
g24,g20,+
g29,g20,+
g85,g20,+
g202,g20,+
g382,g20,+
g447,g20,+
g494,g20,+
g577,g20,+
g710,g20,+
g807,g20,+
g890,g20,+
g1039,g20,+
g1123,g20,+
g1150,g20,+
g1328,g20,+
g11,g21,+
g13,g21,+
g14,g21,+
g15,g21,+
g16,g21,+
g17,g21,+
g18,g21,+
g20,g21,+
g23,g21,+
g25,g21,+
g26,g21,+
g28,g21,+
g29,g21,+
g30,g21,+
g31,g21,+
g72,g21,+
g111,g21,+
g280,g21,+
g608,g21,+
g727,g21,+
g730,g21,+
g815,g21,+
g926,g21,+
g1198,g21,+
g1283,g21,+
g1303,g21,+
g1306,g21,+
g12,g22,+
g15,g22,+
g16,g22,+
g17,g22,+
g18,g22,+
g19,g22,+
g20,g22,+
g23,g22,+
g25,g22,+
g30,g22,+
g32,g22,+
g192,g22,+
g412,g22,+
g469,g22,+
g665,g22,+
g677,g22,+
g723,g22,+
g1066,g22,+
g1068,g22,+
g1446,g22,+
g13,g23,+
g15,g23,+
g16,g23,+
g19,g23,+
g20,g23,+
g21,g23,+
g22,g23,+
g24,g23,+
g26,g23,+
g28,g23,+
g29,g23,+
g30,g23,+
g32,g23,+
g33,g23,+
g354,g23,+
g531,g23,+
g674,g23,+
g718,g23,+
g791,g23,+
g826,g23,+
g1331,g23,+
g1388,g23,+
g15,g24,+
g17,g24,+
g19,g24,+
g20,g24,+
g23,g24,+
g25,g24,+
g27,g24,+
g31,g24,+
g32,g24,+
g33,g24,+
g34,g24,+
g38,g24,+
g150,g24,+
g495,g24,+
g520,g24,+
g605,g24,+
g661,g24,+
g842,g24,+
g1308,g24,+
g1351,g24,+
g1390,g24,+
g1416,g24,+
g1486,g24,+
g15,g25,+
g17,g25,+
g19,g25,+
g21,g25,+
g22,g25,+
g24,g25,+
g28,g25,+
g29,g25,+
g31,g25,+
g32,g25,+
g33,g25,+
g35,g25,+
g214,g25,+
g434,g25,+
g501,g25,+
g594,g25,+
g605,g25,+
g709,g25,+
g844,g25,+
g1027,g25,+
g1265,g25,+
g1371,g25,+
g16,g26,+
g21,g26,+
g23,g26,+
g27,g26,+
g33,g26,+
g35,g26,+
g415,g26,+
g763,g26,+
g786,g26,+
g991,g26,+
g1107,g26,+
g1374,g26,+
g1419,g26,+
g1458,g26,+
g6,g27,+
g18,g27,+
g24,g27,+
g26,g27,+
g28,g27,+
g29,g27,+
g31,g27,+
g32,g27,+
g33,g27,+
g192,g27,+
g385,g27,+
g399,g27,+
g558,g27,+
g726,g27,+
g749,g27,+
g899,g27,+
g1013,g27,+
g1222,g27,+
g18,g28,+
g21,g28,+
g23,g28,+
g25,g28,+
g27,g28,+
g31,g28,+
g33,g28,+
g34,g28,+
g38,g28,+
g124,g28,+
g156,g28,+
g395,g28,+
g419,g28,+
g456,g28,+
g480,g28,+
g488,g28,+
g723,g28,+
g746,g28,+
g951,g28,+
g954,g28,+
g1212,g28,+
g1227,g28,+
g1317,g28,+
g20,g29,+
g21,g29,+
g23,g29,+
g25,g29,+
g27,g29,+
g30,g29,+
g31,g29,+
g32,g29,+
g33,g29,+
g37,g29,+
g38,g29,+
g120,g29,+
g155,g29,+
g274,g29,+
g378,g29,+
g479,g29,+
g499,g29,+
g589,g29,+
g722,g29,+
g761,g29,+
g1425,g29,+
g21,g30,+
g22,g30,+
g23,g30,+
g29,g30,+
g31,g30,+
g32,g30,+
g33,g30,+
g34,g30,+
g35,g30,+
g37,g30,+
g40,g30,+
g142,g30,+
g645,g30,+
g789,g30,+
g861,g30,+
g949,g30,+
g981,g30,+
g1137,g30,+
g1408,g30,+
g1499,g30,+
g21,g31,+
g24,g31,+
g25,g31,+
g27,g31,+
g28,g31,+
g29,g31,+
g30,g31,+
g32,g31,+
g33,g31,+
g34,g31,+
g37,g31,+
g41,g31,+
g55,g31,+
g85,g31,+
g107,g31,+
g202,g31,+
g246,g31,+
g719,g31,+
g1031,g31,+
g1103,g31,+
g1172,g31,+
g1201,g31,+
g1300,g31,+
g1425,g31,+
g22,g32,+
g23,g32,+
g24,g32,+
g25,g32,+
g27,g32,+
g29,g32,+
g30,g32,+
g31,g32,+
g33,g32,+
g36,g32,+
g38,g32,+
g39,g32,+
g40,g32,+
g41,g32,+
g112,g32,+
g208,g32,+
g216,g32,+
g505,g32,+
g636,g32,+
g669,g32,+
g996,g32,+
g1209,g32,+
g1280,g32,+
g1287,g32,+
g1342,g32,+
g1359,g32,+
g1404,g32,+
g1407,g32,+
g23,g33,+
g24,g33,+
g25,g33,+
g26,g33,+
g27,g33,+
g28,g33,+
g29,g33,+
g30,g33,+
g31,g33,+
g32,g33,+
g34,g33,+
g37,g33,+
g39,g33,+
g40,g33,+
g305,g33,+
g464,g33,+
g469,g33,+
g967,g33,+
g1083,g33,+
g1191,g33,+
g1194,g33,+
g1204,g33,+
g1342,g33,+
g1367,g33,+
g19,g34,+
g24,g34,+
g28,g34,+
g30,g34,+
g31,g34,+
g33,g34,+
g35,g34,+
g42,g34,+
g43,g34,+
g44,g34,+
g159,g34,+
g327,g34,+
g470,g34,+
g514,g34,+
g550,g34,+
g758,g34,+
g875,g34,+
g1006,g34,+
g1228,g34,+
g25,g35,+
g26,g35,+
g30,g35,+
g34,g35,+
g36,g35,+
g40,g35,+
g44,g35,+
g185,g35,+
g238,g35,+
g586,g35,+
g621,g35,+
g824,g35,+
g849,g35,+
g909,g35,+
g1079,g35,+
g1125,g35,+
g1362,g35,+
g1426,g35,+
g1429,g35,+
g1468,g35,+
g1490,g35,+
g32,g36,+
g35,g36,+
g38,g36,+
g42,g36,+
g74,g36,+
g271,g36,+
g276,g36,+
g406,g36,+
g671,g36,+
g706,g36,+
g715,g36,+
g797,g36,+
g816,g36,+
g837,g36,+
g904,g36,+
g1176,g36,+
g1263,g36,+
g1470,g36,+
g29,g37,+
g30,g37,+
g31,g37,+
g33,g37,+
g38,g37,+
g39,g37,+
g40,g37,+
g42,g37,+
g43,g37,+
g46,g37,+
g59,g37,+
g101,g37,+
g105,g37,+
g146,g37,+
g292,g37,+
g408,g37,+
g951,g37,+
g1266,g37,+
g1458,g37,+
g24,g38,+
g28,g38,+
g29,g38,+
g32,g38,+
g36,g38,+
g37,g38,+
g43,g38,+
g44,g38,+
g56,g38,+
g66,g38,+
g132,g38,+
g538,g38,+
g738,g38,+
g774,g38,+
g900,g38,+
g1150,g38,+
g1272,g38,+
g1324,g38,+
g1491,g38,+
g32,g39,+
g33,g39,+
g37,g39,+
g40,g39,+
g41,g39,+
g42,g39,+
g44,g39,+
g47,g39,+
g49,g39,+
g154,g39,+
g317,g39,+
g680,g39,+
g763,g39,+
g1019,g39,+
g1189,g39,+
g1208,g39,+
g1314,g39,+
g1352,g39,+
g1421,g39,+
g30,g40,+
g32,g40,+
g33,g40,+
g35,g40,+
g37,g40,+
g39,g40,+
g41,g40,+
g45,g40,+
g46,g40,+
g47,g40,+
g48,g40,+
g49,g40,+
g50,g40,+
g479,g40,+
g745,g40,+
g896,g40,+
g1026,g40,+
g1047,g40,+
g1199,g40,+
g1466,g40,+
g1471,g40,+
g31,g41,+
g32,g41,+
g39,g41,+
g40,g41,+
g42,g41,+
g46,g41,+
g51,g41,+
g80,g41,+
g257,g41,+
g435,g41,+
g455,g41,+
