Gene  Rule 
g1    ( g51 or g109 or g299 or g372 or g480 or g508 or g564 or g609 or g712 or g790 or g1054 or g1159 or g1168 or g1195 or g1417 or g1482 )
g2    ( g152 or g174 or g295 or g303 or g485 or g535 or g616 or g888 or g973 or g1024 or g1034 or g1113 or g1285 or g1359 or g1370 or g1375 or g1377 or g1489 )
g3    ( g108 or g153 or g256 or g257 or g269 or g274 or g306 or g311 or g354 or g529 or g729 or g1052 or g1341 or g1394 or g1406 or g1451 )
g4    ( g10 or g109 or g118 or g187 or g236 or g246 or g279 or g322 or g448 or g454 or g470 or g539 or g547 or g552 or g553 or g682 or g741 or g749 or g792 or g821 or g850 or g929 or g979 or g991 or g1042 or g1329 or g1335 or g1423 )
g5    ( g256 or g280 or g466 or g627 or g679 or g683 or g1144 or g1153 or g1172 or g1236 or g1264 or g1271 or g1406 or g1456 or g1489 )
g6    ( g166 or g300 or g340 or g362 or g426 or g480 or g481 or g536 or g546 or g598 or g680 or g760 or g901 or g920 or g1007 or g1045 or g1096 or g1155 or g1186 or g1200 or g1215 or g1216 or g1227 or g1247 or g1347 or g1395 or g1411 or g1474 or g1491 )
g7    ( g34 or g233 or g384 or g393 or g451 or g500 or g506 or g555 or g656 or g724 or g857 or g916 or g964 or g965 or g1019 or g1023 or g1057 or g1183 or g1318 )
g8    ( g2 or g109 or g136 or g148 or g153 or g281 or g341 or g435 or g556 or g669 or g721 or g789 or g797 or g841 or g879 or g932 or g966 or g984 or g989 or g992 or g1035 or g1229 or g1301 or g1466 )
g9    ( g132 or g229 or g351 or g471 or g692 or g848 or g1013 or g1079 or g1143 or g1217 or g1344 or g1372 or g1436 or g1443 or g1471 )
g10    ( g32 or g80 or g134 or g172 or g193 or g374 or g450 or g506 or g517 or g534 or g541 or g730 or g867 or g1082 or g1166 or g1187 or g1289 or g1299 or g1369 )
g11    ( g77 or g124 or g148 or g365 or g448 or g573 or g654 or g686 or g710 or g806 or g849 or g970 or g1010 or g1055 or g1066 or g1072 or g1085 or g1282 or g1332 or g1425 or g1497 )
g12    ( g38 or g82 or g146 or g174 or g245 or g338 or g421 or g569 or g602 or g779 or g781 or g865 or g876 or g924 or g934 or g1106 or g1169 or g1231 or g1246 or g1247 or g1424 )
g13    ( g24 or g25 or g91 or g182 or g219 or g260 or g291 or g312 or g355 or g382 or g435 or g584 or g626 or g745 or g925 or g1026 or g1040 or g1045 or g1104 or g1105 or g1199 or g1207 or g1219 or g1294 or g1316 or g1365 or g1475 or g1478 )
g14    ( g191 or g266 or g396 or g409 or g507 or g792 or g831 or g855 or g869 or g1207 or g1316 or g1362 )
g15    ( g4 or g42 or g332 or g348 or g438 or g490 or g581 or g716 or g841 or g1145 or g1149 or g1232 or g1255 or g1423 or g1434 or g1457 )
g16    ( g14 or g52 or g65 or g168 or g242 or g260 or g428 or g445 or g615 or g734 or g763 or g929 or g1076 or g1128 or g1134 or g1202 or g1207 or g1350 or g1392 or g1470 )
g17    ( g71 or g74 or g91 or g94 or g168 or g188 or g260 or g308 or g427 or g548 or g569 or g758 or g911 or g1027 or g1063 or g1141 or g1229 or g1234 or g1236 or g1333 or g1412 )
g18    ( g66 or g176 or g297 or g434 or g497 or g503 or g504 or g740 or g812 or g1025 or g1030 or g1087 or g1088 or g1103 or g1173 or g1187 or g1281 or g1408 or g1449 )
g19    ( g22 or g102 or g151 or g190 or g209 or g282 or g345 or g484 or g575 or g693 or g719 or g815 or g832 or g841 or g847 or g901 or g949 or g1092 or g1172 or g1201 or g1238 or g1365 or g1437 or g1450 or g1481 )
